Suburb,Type,Price,Postcode,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,zipcode,airbnb_record_count,airbnb_price_mean
Abbotsford,h,1480000.0,3067.0,202.0,,,Yarra,-37.7996,144.9984,3067.0,258.0,130.62403100775194
Abbotsford,h,1035000.0,3067.0,156.0,,,Yarra,-37.8079,144.9934,3067.0,258.0,130.62403100775194
Abbotsford,h,1465000.0,3067.0,134.0,,,Yarra,-37.8093,144.9944,3067.0,258.0,130.62403100775194
Abbotsford,h,850000.0,3067.0,94.0,,,Yarra,-37.7969,144.9969,3067.0,258.0,130.62403100775194
Abbotsford,h,1600000.0,3067.0,120.0,,,Yarra,-37.8072,144.9941,3067.0,258.0,130.62403100775194
Abbotsford,h,941000.0,3067.0,181.0,,,Yarra,-37.8041,144.9953,3067.0,258.0,130.62403100775194
Abbotsford,h,1876000.0,3067.0,245.0,,,Yarra,-37.8024,144.9993,3067.0,258.0,130.62403100775194
Abbotsford,h,1636000.0,3067.0,256.0,,,Yarra,-37.806,144.9954,3067.0,258.0,130.62403100775194
Abbotsford,u,300000.0,3067.0,0.0,,,Yarra,-37.8008,144.9973,3067.0,258.0,130.62403100775194
Abbotsford,h,1097000.0,3067.0,220.0,,,Yarra,-37.801,144.9989,3067.0,258.0,130.62403100775194
Abbotsford,u,700000.0,3067.0,0.0,,,Yarra,-37.811,145.0067,3067.0,258.0,130.62403100775194
Abbotsford,h,1350000.0,3067.0,214.0,,,Yarra,-37.8085,144.9964,3067.0,258.0,130.62403100775194
Abbotsford,u,750000.0,3067.0,0.0,,,Yarra,-37.8078,144.9965,3067.0,258.0,130.62403100775194
Abbotsford,h,1172500.0,3067.0,195.0,,,Yarra,-37.8084,144.9973,3067.0,258.0,130.62403100775194
Abbotsford,u,441000.0,3067.0,0.0,,,Yarra,-37.8016,144.9988,3067.0,258.0,130.62403100775194
Abbotsford,h,1310000.0,3067.0,238.0,,,Yarra,-37.809,144.9976,3067.0,258.0,130.62403100775194
Abbotsford,h,1200000.0,3067.0,113.0,,,Yarra,-37.8056,144.993,3067.0,258.0,130.62403100775194
Abbotsford,h,1176500.0,3067.0,138.0,,,Yarra,-37.8021,144.9965,3067.0,258.0,130.62403100775194
Abbotsford,h,955000.0,3067.0,183.0,,,Yarra,-37.8022,144.9975,3067.0,258.0,130.62403100775194
Abbotsford,h,890000.0,3067.0,150.0,,,Yarra,-37.8011,145.0004,3067.0,258.0,130.62403100775194
Abbotsford,h,1330000.0,3067.0,780.0,,,Yarra,-37.8073,144.9952,3067.0,258.0,130.62403100775194
Abbotsford,t,900000.0,3067.0,0.0,,,Yarra,-37.8093,144.9959,3067.0,258.0,130.62403100775194
Abbotsford,u,1090000.0,3067.0,,,,Yarra,-37.8078,144.9965,3067.0,258.0,130.62403100775194
Abbotsford,u,500000.0,3067.0,0.0,,,Yarra,-37.8015,144.9972,3067.0,258.0,130.62403100775194
Abbotsford,h,1100000.0,3067.0,124.0,,,Yarra,-37.8079,144.9977,3067.0,258.0,130.62403100775194
Abbotsford,h,1315000.0,3067.0,147.0,,,Yarra,-37.808,144.994,3067.0,258.0,130.62403100775194
Abbotsford,u,426000.0,3067.0,0.0,,,Yarra,-37.8016,144.9988,3067.0,258.0,130.62403100775194
Abbotsford,h,1447500.0,3067.0,166.0,,,Yarra,-37.8017,145.0001,3067.0,258.0,130.62403100775194
Abbotsford,u,457000.0,3067.0,0.0,,,Yarra,-37.8078,144.9965,3067.0,258.0,130.62403100775194
Abbotsford,h,1135000.0,3067.0,98.0,,,Yarra,-37.8005,144.9952,3067.0,258.0,130.62403100775194
Abbotsford,h,1542000.0,3067.0,0.0,,,Yarra,-37.7994,144.9965,3067.0,258.0,130.62403100775194
Abbotsford,h,1290000.0,3067.0,147.0,,,Yarra,-37.805,144.9943,3067.0,258.0,130.62403100775194
Abbotsford,h,1290000.0,3067.0,168.0,,,Yarra,-37.8007,144.9958,3067.0,258.0,130.62403100775194
Abbotsford,u,470000.0,3067.0,0.0,,,Yarra,-37.8055,144.9961,3067.0,258.0,130.62403100775194
Abbotsford,h,1180000.0,3067.0,162.0,,,Yarra,-37.8016,144.9956,3067.0,258.0,130.62403100775194
Abbotsford,h,1195000.0,3067.0,120.0,,,Yarra,-37.8022,144.9954,3067.0,258.0,130.62403100775194
Abbotsford,h,1012500.0,3067.0,182.0,,,Yarra,-37.8021,144.9976,3067.0,258.0,130.62403100775194
Abbotsford,h,1030000.0,3067.0,172.0,,,Yarra,-37.8086,144.9946,3067.0,258.0,130.62403100775194
Airport West,t,840000.0,3042.0,303.0,,,Moonee Valley,-37.718,144.878,,,
Airport West,h,730000.0,3042.0,0.0,,,Moonee Valley,-37.7203,144.8755,,,
Airport West,h,770000.0,3042.0,0.0,,,Moonee Valley,-37.7203,144.8755,,,
Airport West,h,603000.0,3042.0,272.0,,,Moonee Valley,-37.7294,144.888,,,
Airport West,t,700000.0,3042.0,239.0,,,Moonee Valley,-37.7218,144.8837,,,
Airport West,h,600000.0,3042.0,290.0,,,Moonee Valley,-37.7273,144.8744,,,
Airport West,u,500000.0,3042.0,168.0,,,Moonee Valley,-37.7215,144.8864,,,
Airport West,h,720000.0,3042.0,620.0,,,Moonee Valley,-37.7173,144.8872,,,
Airport West,h,785000.0,3042.0,597.0,,,Moonee Valley,-37.7259,144.8792,,,
Airport West,h,725000.0,3042.0,976.0,,,Moonee Valley,-37.7239,144.8735,,,
Airport West,t,450000.0,3042.0,110.0,,,Moonee Valley,-37.7216,144.871,,,
Airport West,u,515000.0,3042.0,141.0,,,Moonee Valley,-37.7298,144.8883,,,
Airport West,u,530000.0,3042.0,120.0,,,Moonee Valley,-37.7234,144.8792,,,
Airport West,h,895000.0,3042.0,1063.0,,,Moonee Valley,-37.7249,144.8728,,,
Airport West,h,805000.0,3042.0,0.0,,,Moonee Valley,-37.7217,144.8783,,,
Airport West,u,752000.0,3042.0,265.0,,,Moonee Valley,-37.7302,144.8855,,,
